customer_id,gender,age,country,signup_date,last_purchase_date,acquisition_channel,device_type,subscription_type,is_premium_user,total_visits,avg_session_time,pages_per_session,email_open_rate,email_click_rate,total_spent,avg_order_value,discount_used,coupon_code,support_tickets,refund_requested,delivery_delay_days,payment_method,satisfaction_score,nps_score,marketing_spend_per_user,lifetime_value,last_3_month_purchase_freq,churn,never_purchased,days_since_last_purchase,customer_tenure_days,revenue_per_visit,engagement_score
10077,Female,12,Germany,2024-07-29,2024-09-30,Referral,Tablet,Monthly,0,21,7.68,6.06,0.73,0.4,119.19,62.02,0,NEW20,3,0,3,UPI,1.0,6,20.98,342.1,2,1,0,183,246,5.68,0.61
10078,Male,25,USA,2022-09-25,2024-02-18,Facebook Ads,Desktop,Annual,1,19,8.26,4.19,0.28,0.45,681.08,65.2,0,NO_COUPON,1,1,3,UPI,4.0,7,11.7,1570.16,6,0,0,408,919,35.85,0.46
10079,Male,33,India,2024-03-26,2023-07-25,Email,Tablet,Annual,0,21,7.66,5.08,0.16,0.06,498.1,42.47,1,SALE15,3,0,0,UPI,2.0,1,7.66,967.47,14,0,0,616,371,23.72,0.44
10080,Male,61,Germany,2023-04-10,2025-02-13,Google Ads,Mobile,Monthly,0,11,10.35,2.79,0.73,0.32,97.48,57.56,0,SALE15,1,0,3,PayPal,4.0,3,9.7,890.62,5,1,0,47,722,8.86,0.52
10081,Female,40,USA,2022-01-14,2023-03-08,Facebook Ads,Desktop,Annual,1,20,8.74,3.78,0.07,0.43,112.43,7.43,1,SALE15,1,0,4,PayPal,4.0,9,13.22,1061.85,4,1,0,755,1173,5.62,0.42
10082,Female,35,India,2024-03-31,2024-04-23,Google Ads,Desktop,Annual,1,19,6.47,4.8,0.15,0.37,531.82,41.04,1,NEW20,2,0,5,BKash,4.0,7,6.1,640.02,5,0,0,343,366,27.99,0.39
10083,Male,28,Germany,2022-08-06,2023-05-18,Google Ads,Desktop,Annual,0,17,6.29,1.61,0.93,0.19,1208.72,65.71,0,REF10,4,0,2,PayPal,3.0,3,10.61,1801.62,7,0,0,684,969,71.1,0.6
10084,Male,34,Germany,2024-09-16,2023-08-13,Referral,Desktop,Monthly,0,16,8.94,3.41,0.61,0.0,445.38,53.74,0,NEW20,3,0,1,PayPal,3.0,10,23.02,1447.9,12,0,0,597,197,27.84,0.53
10085,Male,38,India,2022-08-22,2023-03-02,Referral,Tablet,Monthly,0,13,4.42,2.95,0.05,0.45,725.0,81.22,1,REF10,1,0,5,Card,3.0,8,12.27,409.38,1,0,0,761,953,55.77,0.25
10086,Male,22,Germany,2022-02-14,2024-09-05,Organic,Desktop,Monthly,1,12,10.55,1.92,0.94,0.27,103.68,87.77,0,NEW20,1,0,1,SEPA,1.0,9,17.15,481.83,2,0,0,208,1142,8.64,0.6
10087,Female,34,USA,2022-06-09,2023-10-20,Facebook Ads,Desktop,Annual,0,21,14.66,1.06,0.4,0.18,777.4,87.09,1,NO_COUPON,2,0,6,UPI,3.0,2,29.12,1091.66,1,0,0,529,1027,37.02,0.62
10088,Female,28,USA,2022-06-07,2023-01-15,Email,Tablet,Annual,0,17,8.63,4.47,0.91,0.41,848.26,24.64,1,NEW20,2,0,5,PayPal,4.0,2,22.88,775.71,12,0,0,807,1029,49.9,0.63
10089,Female,24,Germany,2024-02-19,2023-02-19,Referral,Mobile,Monthly,0,17,3.64,2.85,0.7,0.16,295.11,62.61,0,NO_COUPON,2,0,2,UPI,4.0,7,6.81,2215.16,11,0,0,772,407,17.36,0.49
10090,Female,38,Bangladesh,2022-04-10,2025-02-10,Facebook Ads,Tablet,Monthly,0,11,7.63,0.89,0.57,0.03,20.54,57.3,0,NO_COUPON,2,1,3,UPI,3.0,4,14.84,1647.97,3,0,0,50,1087,1.87,0.43
10091,Male,43,India,2022-03-24,2023-04-11,Referral,Mobile,Monthly,0,12,6.62,5.07,0.87,0.31,1019.73,55.09,0,SALE15,1,0,2,UPI,4.0,3,20.62,1267.48,9,0,0,721,1104,84.98,0.52
10092,Female,43,Bangladesh,2023-07-10,2024-03-01,Email,Mobile,Annual,1,14,8.32,3.08,0.65,0.31,345.12,27.82,0,REF10,0,0,4,Card,3.0,2,6.39,1324.04,1,0,0,396,631,24.65,0.51
10093,Female,41,USA,2022-06-02,2023-01-10,Referral,Tablet,Annual,0,13,7.92,3.08,0.09,0.22,491.09,71.62,0,REF10,5,0,2,BKash,5.0,3,19.39,1017.31,5,1,0,812,1034,37.78,0.32
10094,Female,30,Germany,2024-09-19,2025-01-25,Organic,Desktop,Monthly,0,12,11.78,5.81,0.26,0.44,450.42,49.98,0,SALE15,1,0,5,BKash,4.0,9,14.13,1635.75,6,0,0,66,194,37.54,0.42
10095,Female,42,UK,2023-11-13,2023-05-03,Facebook Ads,Tablet,Monthly,1,13,6.54,2.41,0.14,0.09,470.2,85.74,0,NO_COUPON,0,0,4,UPI,4.0,8,9.02,342.97,0,0,0,699,505,36.17,0.31
10096,Female,38,UK,2022-01-21,2024-10-23,Facebook Ads,Desktop,Monthly,0,10,7.84,4.35,0.4,0.4,498.1,63.93,1,NEW20,1,0,6,BKash,5.0,0,19.32,2215.06,12,0,0,160,1166,49.81,0.37
10097,Female,36,Bangladesh,2022-09-07,2024-11-01,Google Ads,Tablet,Monthly,0,18,5.25,4.8,0.62,0.22,515.21,54.5,0,REF10,1,0,2,Card,4.0,2,6.65,1025.33,9,0,0,151,937,28.62,0.5
10098,Male,29,Bangladesh,2022-07-08,2023-09-10,Organic,Mobile,Annual,0,11,9.02,5.01,0.29,0.09,289.9,48.76,1,NO_COUPON,0,0,1,Card,3.0,6,5.68,2319.09,2,0,0,569,998,26.35,0.37
10099,Male,30,Bangladesh,2022-11-18,2023-11-28,Referral,Tablet,Annual,1,16,10.61,0.87,0.7,0.3,412.17,62.29,1,NO_COUPON,1,1,3,BKash,2.0,10,13.37,962.13,5,0,0,490,865,25.76,0.58
10100,Male,36,USA,2024-05-18,2023-07-20,Google Ads,Mobile,Annual,1,23,12.15,5.34,0.89,0.44,664.15,92.26,0,REF10,3,0,2,BKash,1.0,9,28.43,1822.43,2,0,0,621,318,28.88,0.75
10101,Male,59,USA,2023-06-17,2025-03-06,Referral,Tablet,Monthly,1,17,9.16,3.34,0.59,0.05,481.92,43.64,0,NEW20,0,0,4,PayPal,4.0,8,5.55,2087.47,1,0,0,26,654,28.35,0.54
10102,Female,38,Germany,2024-03-04,2023-04-08,Organic,Tablet,Monthly,0,14,8.78,3.77,0.45,0.38,642.85,41.63,1,REF10,4,0,2,SEPA,3.0,5,5.77,1662.76,10,0,0,724,393,45.92,0.45
10103,Male,35,USA,2023-11-03,2023-08-10,Google Ads,Desktop,Annual,0,21,5.69,5.3,0.36,0.36,623.66,70.57,0,SALE15,2,0,1,Card,2.0,6,22.4,2371.29,0,0,0,600,515,29.7,0.47
10104,Female,35,Germany,2022-08-07,2024-12-20,Email,Tablet,Monthly,0,18,1.63,4.51,0.22,0.31,780.56,111.27,0,NEW20,2,0,6,Card,4.0,10,8.63,32.54,4,0,0,102,968,43.36,0.32
10105,Other,30,Germany,2022-01-17,2023-10-02,Facebook Ads,Desktop,Annual,0,10,6.33,2.23,0.2,0.33,498.1,85.97,1,SALE15,5,0,3,UPI,4.0,4,10.84,1214.37,13,0,0,547,1170,49.81,0.29
10106,Male,57,Bangladesh,2023-05-31,2024-05-18,Organic,Tablet,Monthly,1,18,7.28,6.13,0.16,0.37,92.01,25.83,1,NEW20,2,0,3,PayPal,5.0,1,9.28,2229.6,8,0,0,318,671,5.11,0.39
10107,Male,31,UK,2022-02-08,2024-07-12,Organic,Mobile,Monthly,0,17,7.65,4.08,0.46,0.22,312.28,39.97,0,NEW20,1,0,4,BKash,5.0,7,29.79,1027.0,8,0,0,263,1148,18.37,0.48
10108,Female,44,Bangladesh,2024-02-22,2024-09-18,Referral,Tablet,Annual,0,18,3.2,4.88,0.9,0.23,708.39,37.32,0,NEW20,3,0,9,PayPal,3.0,0,6.4,1676.45,14,0,0,195,404,39.36,0.55
10109,Male,31,USA,2024-03-11,2024-11-26,Email,Desktop,Monthly,0,16,7.17,2.29,0.68,0.48,1008.02,149.11,1,NO_COUPON,4,0,0,SEPA,3.0,5,24.18,749.35,14,0,0,126,386,63.0,0.52
10110,Male,38,India,2023-12-02,2024-01-05,Email,Desktop,Annual,1,11,1.57,3.93,0.21,0.02,498.1,69.45,0,SALE15,3,0,1,PayPal,5.0,2,22.23,775.53,4,0,0,452,486,45.28,0.23
10111,Male,43,USA,2022-05-22,2024-06-06,Organic,Tablet,Annual,1,8,4.13,3.49,0.25,0.47,587.22,90.94,0,NO_COUPON,1,0,2,PayPal,2.0,4,5.43,947.17,9,0,0,299,1045,73.4,0.24
10112,Male,35,UK,2022-12-12,2024-08-11,Organic,Mobile,Annual,1,16,11.27,2.49,0.17,0.36,157.22,34.44,1,NO_COUPON,2,0,2,Card,4.0,0,20.81,1758.87,14,0,0,233,841,9.83,0.43
10113,Other,29,USA,2022-10-30,2023-11-26,Facebook Ads,Tablet,Monthly,0,14,11.95,2.18,0.13,0.22,222.22,48.83,0,NO_COUPON,2,1,2,Card,3.0,0,11.02,1848.88,9,0,0,492,884,15.87,0.41
